Date,Weight
8/19/2013,167
9/19/2013,167
9/27/2013,170.1
8/21/2014,180.1
8/25/2014,188.3
3/31/2015,196
10/28/2015,200
11/4/2015,198.7
11/10/2015,197.8
11/12/2015,195.7
11/13/2015,195.8
11/16/2015,196.1
11/18/2015,193.7
11/19/2015,191.7
11/20/2015,195.7
11/24/2015,195.7
11/25/2015,193.8
11/30/2015,195.7
12/1/2015,193.6
12/2/2015,195.1
12/3/2015,194.7
12/8/2015,195.2
12/9/2015,194.1
12/11/2015,193.7
12/14/2015,193.8
12/15/2015,192
12/16/2015,191
12/17/2015,191.6
12/18/2015,192.6
12/22/2015,192
12/26/2015,190
12/28/2015,191
12/30/2015,188.2
1/8/2016,187.7
1/11/2016,186.8
1/12/2016,187.7
1/14/2016,187.1
1/19/2016,186.6
1/20/2016,184.8
1/21/2016,187.9
1/25/2016,186.7
1/26/2016,186.5
1/27/2016,187.8
1/28/2016,188.8
1/29/2016,186.8
2/1/2016,185.5
2/3/2016,185
2/4/2016,184.6
2/5/2016,186.7
2/9/2016,183.8
2/10/2016,185.8
2/11/2016,184.9
2/17/2016,182.8
2/23/2016,185.2
2/24/2016,186.8
2/25/2016,183.7
2/26/2016,184.2
2/29/2016,185.9
3/1/2016,185.0
3/3/2016,183
3/4/2016,182.6
3/7/2016,184.4
3/17/2016,185.1
3/21/2016,187.4
3/22/2016,186.0
3/23/2016,182.8
3/24/2016,183
3/25/2016,183.2
3/29/2016,181.7
4/1/2016,182.2
4/4/2016,183.2
4/5/2016,184.2
4/6/2016,181.6
4/8/2016,181.8
4/12/2016,184.8
4/13/2016,181.8
4/14/2016,181.8
4/15/2016,181.4
4/18/2016,181.8
4/19/2016,181.2
4/20/2016,181.8
4/21/2016,181.2
4/22/2016,181.1
4/25/2016,181.7
4/26/2016,180.7
4/27/2016,182.0
4/28/2016,181.4
4/29/2016,180.8
5/2/2016,182.8
5/3/2016,181.2
5/4/2016,179.8
5/9/2016,183.4
5/10/2016,180.4
5/12/2016,179.4
5/14/2016,178.8
5/23/2016,179.2
5/24/2016,179.5
5/25/2016,179.8
5/26/2016,180.4
5/31/2016,179.4
6/1/2016,178.2
6/2/2016,178.5
6/3/2016,178.4
6/8/2016,177.6
6/13/2016,178.7
6/17/2016,176.5
6/20/2016,178.9
6/22/2016,177.8
6/24/2016,176.6
6/27/2016,177.4
7/7/2016,179.5
7/11/2016,178.0
7/13/2016,177.5
7/14/2016,177.1
7/18/2016,177.5
7/19/2016,177.5
7/20/2016,175.7
7/21/2016,175.2
7/22/2016,177.5
7/27/2016,175.7
7/28/2016,175.8
7/29/2016,176.3
